date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-19 21:51:25,0.0,0.0,0.0,0.47,0.88,0.09,"['2020-09-19 21:51:25', 0.0, 0.0, 0.0, 0.47, 0.88, 0.09, [...]]"
2020-09-19 21:51:26,0.0,0.0,0.0,0.46,0.88,0.12,"['2020-09-19 21:51:26', 0.0, 0.0, 0.0, 0.46, 0.88, 0.12, [...]]"
2020-09-19 21:51:26,0.0,0.0,0.0,0.46,0.82,0.11,"['2020-09-19 21:51:26', 0.0, 0.0, 0.0, 0.46, 0.82, 0.11, [...]]"
2020-09-19 21:51:27,0.0,0.0,0.0,0.46,0.82,0.11,"['2020-09-19 21:51:27', 0.0, 0.0, 0.0, 0.46, 0.82, 0.11, [...]]"
2020-09-19 21:51:28,0.0,0.0,0.0,0.46,0.86,0.11,"['2020-09-19 21:51:28', 0.0, 0.0, 0.0, 0.46, 0.86, 0.11, [...]]"
2020-09-19 21:51:29,0.0,0.0,0.0,0.46,0.82,0.11,"['2020-09-19 21:51:29', 0.0, 0.0, 0.0, 0.46, 0.82, 0.11, [...]]"
2020-09-19 21:51:29,0.0,0.0,0.0,0.46,0.82,0.11,"['2020-09-19 21:51:29', 0.0, 0.0, 0.0, 0.46, 0.82, 0.11, [...]]"
2020-09-19 21:51:30,0.0,0.0,0.0,0.42,0.88,0.14,"['2020-09-19 21:51:30', 0.0, 0.0, 0.0, 0.42, 0.88, 0.14, [...]]"
2020-09-19 21:51:31,0.0,0.0,0.0,0.42,0.88,0.11,"['2020-09-19 21:51:31', 0.0, 0.0, 0.0, 0.42, 0.88, 0.11, [...]]"
2020-09-19 21:51:31,0.0,0.0,0.0,0.45,0.87,0.11,"['2020-09-19 21:51:31', 0.0, 0.0, 0.0, 0.45, 0.87, 0.11, [...]]"
2020-09-19 21:51:32,0.0,0.0,0.0,0.47,0.85,0.11,"['2020-09-19 21:51:32', 0.0, 0.0, 0.0, 0.47, 0.85, 0.11, [...]]"
2020-09-19 21:51:33,0.0,0.0,0.0,0.47,0.85,0.11,"['2020-09-19 21:51:33', 0.0, 0.0, 0.0, 0.47, 0.85, 0.11, [...]]"
2020-09-19 21:51:34,0.0,0.0,0.0,0.46,0.87,0.1,"['2020-09-19 21:51:34', 0.0, 0.0, 0.0, 0.46, 0.87, 0.1, [...]]"
2020-09-19 21:51:34,0.0,0.0,0.0,0.46,0.84,0.11,"['2020-09-19 21:51:34', 0.0, 0.0, 0.0, 0.46, 0.84, 0.11, [...]]"
2020-09-19 21:51:35,0.0,0.0,0.0,0.46,0.84,0.11,"['2020-09-19 21:51:35', 0.0, 0.0, 0.0, 0.46, 0.84, 0.11, [...]]"
2020-09-19 21:51:36,0.0,0.0,0.0,0.44,0.81,0.08,"['2020-09-19 21:51:36', 0.0, 0.0, 0.0, 0.44, 0.81, 0.08, [...]]"
2020-09-19 21:51:37,0.0,0.0,0.0,0.44,0.84,0.1,"['2020-09-19 21:51:37', 0.0, 0.0, 0.0, 0.44, 0.84, 0.1, [...]]"
2020-09-19 21:51:37,0.0,0.0,0.0,0.53,0.84,0.1,"['2020-09-19 21:51:37', 0.0, 0.0, 0.0, 0.53, 0.84, 0.1, [...]]"
2020-09-19 21:51:38,0.0,0.0,0.0,0.59,0.91,0.14,"['2020-09-19 21:51:38', 0.0, 0.0, 0.0, 0.59, 0.91, 0.14, [...]]"
2020-09-19 21:51:39,0.0,0.0,0.0,0.59,0.91,0.08,"['2020-09-19 21:51:39', 0.0, 0.0, 0.0, 0.59, 0.91, 0.08, [...]]"
2020-09-19 21:51:39,0.0,0.0,0.0,0.36,0.78,0.08,"['2020-09-19 21:51:39', 0.0, 0.0, 0.0, 0.36, 0.78, 0.08, [...]]"
2020-09-19 21:51:40,0.0,0.0,0.0,0.44,0.85,0.11,"['2020-09-19 21:51:40', 0.0, 0.0, 0.0, 0.44, 0.85, 0.11, [...]]"
2020-09-19 21:51:41,0.0,0.0,0.0,0.44,0.85,0.11,"['2020-09-19 21:51:41', 0.0, 0.0, 0.0, 0.44, 0.85, 0.11, [...]]"
2020-09-19 21:51:42,0.0,0.0,0.0,0.44,0.82,0.09,"['2020-09-19 21:51:42', 0.0, 0.0, 0.0, 0.44, 0.82, 0.09, [...]]"
2020-09-19 21:51:42,0.0,0.0,0.0,0.44,0.85,0.09,"['2020-09-19 21:51:42', 0.0, 0.0, 0.0, 0.44, 0.85, 0.09, [...]]"
2020-09-19 21:51:43,0.0,0.0,0.0,0.45,0.85,0.09,"['2020-09-19 21:51:43', 0.0, 0.0, 0.0, 0.45, 0.85, 0.09, [...]]"
2020-09-19 21:51:44,0.0,0.0,0.0,0.48,0.82,0.13,"['2020-09-19 21:51:44', 0.0, 0.0, 0.0, 0.48, 0.82, 0.13, [...]]"
2020-09-19 21:51:44,0.0,0.0,0.0,0.48,0.82,0.1,"['2020-09-19 21:51:44', 0.0, 0.0, 0.0, 0.48, 0.82, 0.1, [...]]"
2020-09-19 21:51:45,0.0,0.0,0.0,0.52,0.79,0.1,"['2020-09-19 21:51:45', 0.0, 0.0, 0.0, 0.52, 0.79, 0.1, [...]]"
2020-09-19 21:51:46,0.0,0.0,0.0,0.47,0.84,0.17,"['2020-09-19 21:51:46', 0.0, 0.0, 0.0, 0.47, 0.84, 0.17, [...]]"
2020-09-19 21:51:47,0.0,0.0,0.0,0.47,0.84,0.17,"['2020-09-19 21:51:47', 0.0, 0.0, 0.0, 0.47, 0.84, 0.17, [...]]"
2020-09-19 21:51:47,0.0,0.0,0.0,0.48,0.79,0.09,"['2020-09-19 21:51:47', 0.0, 0.0, 0.0, 0.48, 0.79, 0.09, [...]]"
2020-09-19 21:51:48,0.0,0.0,0.0,0.48,0.81,0.11,"['2020-09-19 21:51:48', 0.0, 0.0, 0.0, 0.48, 0.81, 0.11, [...]]"
2020-09-19 21:51:49,0.0,0.0,0.0,0.49,0.81,0.11,"['2020-09-19 21:51:49', 0.0, 0.0, 0.0, 0.49, 0.81, 0.11, [...]]"
2020-09-19 21:51:50,0.0,0.0,0.0,0.5,0.83,0.11,"['2020-09-19 21:51:50', 0.0, 0.0, 0.0, 0.5, 0.83, 0.11, [...]]"
2020-09-19 21:51:50,0.0,0.0,0.0,0.5,0.83,0.08,"['2020-09-19 21:51:50', 0.0, 0.0, 0.0, 0.5, 0.83, 0.08, [...]]"
2020-09-19 21:51:51,0.0,0.0,0.0,0.55,0.8,0.08,"['2020-09-19 21:51:51', 0.0, 0.0, 0.0, 0.55, 0.8, 0.08, [...]]"
2020-09-19 21:51:52,0.0,0.0,0.0,0.44,0.88,0.15,"['2020-09-19 21:51:52', 0.0, 0.0, 0.0, 0.44, 0.88, 0.15, [...]]"
2020-09-19 21:51:52,0.0,0.0,0.0,0.44,0.88,0.15,"['2020-09-19 21:51:52', 0.0, 0.0, 0.0, 0.44, 0.88, 0.15, [...]]"
2020-09-19 21:51:53,0.0,0.0,0.0,0.49,0.77,0.75,"['2020-09-19 21:51:53', 0.0, 0.0, 0.0, 0.49, 0.77, 0.75, [...]]"
2020-09-19 21:51:54,0.0,0.0,0.0,0.52,0.81,0.44,"['2020-09-19 21:51:54', 0.0, 0.0, 0.0, 0.52, 0.81, 0.44, [...]]"
2020-09-19 21:51:55,0.0,0.0,0.0,0.52,0.81,0.44,"['2020-09-19 21:51:55', 0.0, 0.0, 0.0, 0.52, 0.81, 0.44, [...]]"
2020-09-19 21:51:55,0.0,0.0,0.0,0.54,0.77,0.47,"['2020-09-19 21:51:55', 0.0, 0.0, 0.0, 0.54, 0.77, 0.47, [...]]"
2020-09-19 21:51:56,0.0,0.0,0.0,0.54,0.79,0.12,"['2020-09-19 21:51:56', 0.0, 0.0, 0.0, 0.54, 0.79, 0.12, [...]]"
2020-09-19 21:51:57,0.0,0.0,0.0,0.48,0.79,0.12,"['2020-09-19 21:51:57', 0.0, 0.0, 0.0, 0.48, 0.79, 0.12, [...]]"
2020-09-19 21:51:58,0.0,0.0,0.0,0.52,0.83,0.15,"['2020-09-19 21:51:58', 0.0, 0.0, 0.0, 0.52, 0.83, 0.15, [...]]"
