date,accX,accY,accZ,gyrX,gyrY,gyrZ,fall
2020-09-03 13:17:47,0.99,0.07,0.06,0.71,0.92,0.36,0.0
2020-09-03 13:17:48,0.99,0.07,0.06,1.34,1.32,0.3,0.0
2020-09-03 13:17:49,0.99,0.08,0.05,0.61,1.05,0.36,0.0
2020-09-03 13:17:50,0.99,0.07,0.06,0.48,1.01,0.34,0.0
2020-09-03 13:17:51,0.99,0.07,0.05,0.81,1.31,0.42,0.0
2020-09-03 13:17:53,0.99,0.07,0.04,0.59,0.99,0.28,0.0
2020-09-03 13:17:54,0.99,0.08,0.04,0.72,1.22,0.28,0.0
2020-09-03 13:17:55,0.99,0.08,0.03,0.85,1.03,0.32,0.0
2020-09-03 13:17:56,0.99,0.08,0.04,1.34,0.81,0.4,0.0
2020-09-03 13:17:57,0.99,0.08,0.04,1.26,1.04,0.38,0.0
2020-09-03 13:17:58,0.99,0.08,0.05,1.33,0.44,0.55,0.0
2020-09-03 13:18:00,0.99,0.07,0.06,3.56,1.2,1.06,0.0
2020-09-03 13:18:01,0.99,0.07,0.05,1.25,1.36,0.62,0.0
2020-09-03 13:18:02,0.99,0.07,0.04,1.14,1.49,0.72,0.0
2020-09-03 13:18:03,0.99,0.06,0.03,5.58,1.2,0.89,0.0
2020-09-03 13:18:04,0.99,0.06,0.04,4.23,1.3,0.61,0.0
2020-09-03 13:18:05,0.99,0.06,0.03,5.04,1.06,1.8,0.0
2020-09-03 13:18:06,0.99,0.07,0.03,5.26,1.32,0.71,0.0
2020-09-03 13:18:07,0.99,0.08,0.02,2.16,1.01,0.63,0.0
2020-09-03 13:18:09,0.99,0.07,0.02,3.39,1.29,0.9,0.0
2020-09-03 13:18:10,0.99,0.08,0.02,2.33,1.0,0.96,0.0
2020-09-03 13:18:11,0.99,0.07,0.05,6.7,0.82,0.78,0.0
2020-09-03 13:18:12,0.99,0.11,0.02,6.12,1.84,0.91,0.0
2020-09-03 13:18:13,0.99,0.11,0.02,12.13,3.79,2.79,0.0
2020-09-03 13:18:14,0.97,0.13,0.14,31.35,16.92,18.15,0.0
2020-09-03 13:18:16,0.99,0.07,0.1,36.32,13.98,13.37,0.0
2020-09-03 13:18:17,0.98,0.06,0.11,16.85,6.86,6.26,0.0
2020-09-03 13:18:18,0.97,0.1,0.16,24.2,13.67,6.88,0.0
2020-09-03 13:18:19,0.99,0.11,0.15,23.31,12.14,5.34,0.0
2020-09-03 13:18:21,0.99,0.17,0.07,46.75,9.3,17.53,0.0
2020-09-03 13:18:22,0.97,0.04,0.05,6.13,1.7,2.46,0.0
2020-09-03 13:18:23,0.99,0.05,0.05,2.71,1.19,1.2,0.0
2020-09-03 13:18:25,0.99,0.06,0.07,11.48,6.52,7.0,0.0
2020-09-03 13:18:28,0.99,0.04,0.07,11.07,2.44,3.48,0.0
2020-09-03 13:18:30,0.99,0.09,0.1,9.23,3.36,8.57,0.0
2020-09-03 13:18:31,0.98,0.08,0.1,7.92,2.65,5.71,0.0
2020-09-03 13:18:32,0.99,0.08,0.08,4.08,1.07,2.19,0.0
2020-09-03 13:18:34,0.99,0.08,0.09,5.47,1.26,1.5,0.0
2020-09-03 13:18:35,0.99,0.03,0.06,3.22,1.26,2.55,0.0
2020-09-03 13:18:37,0.99,0.04,0.07,4.19,1.73,1.5,0.0
2020-09-03 13:18:39,0.99,0.03,0.07,1.81,2.02,0.93,0.0
2020-09-03 13:18:40,0.99,0.04,0.08,2.73,1.53,0.58,0.0
2020-09-03 13:18:41,0.99,0.06,0.1,5.67,1.1,1.12,0.0
2020-09-03 13:18:43,0.99,0.08,0.13,10.84,2.85,2.9,0.0
2020-09-03 13:18:44,0.98,0.11,0.16,3.21,1.33,0.65,0.0
2020-09-03 13:18:45,0.98,0.12,0.14,6.42,1.93,2.35,0.0
2020-09-03 13:18:46,0.96,0.19,0.21,7.41,4.86,2.69,0.0
2020-09-03 13:18:47,0.94,0.18,0.27,1.04,2.27,0.55,0.0
2020-09-03 13:18:48,0.94,0.16,0.29,0.82,1.38,0.59,0.0
2020-09-03 13:18:50,0.94,0.17,0.29,0.46,0.9,0.18,0.0
2020-09-03 13:18:51,0.94,0.17,0.29,0.38,0.95,0.2,0.0
2020-09-03 13:18:52,0.94,0.17,0.29,0.44,0.92,0.22,0.0
2020-09-03 13:18:53,0.94,0.17,0.29,0.58,1.09,0.33,0.0
2020-09-03 13:18:54,0.94,0.17,0.29,0.74,1.14,0.29,0.0
2020-09-03 13:18:56,0.93,0.17,0.31,24.88,9.92,9.44,0.0
2020-09-03 13:18:57,0.98,0.14,0.2,106.38,26.33,29.34,0.0
2020-09-03 13:18:58,1.0,0.06,0.12,27.95,5.15,10.91,0.0
2020-09-03 13:18:59,0.99,0.03,0.09,10.05,2.45,2.98,0.0
2020-09-03 13:19:00,0.99,0.1,0.11,24.32,5.47,12.07,0.0
2020-09-03 13:19:02,0.96,0.13,0.25,46.15,23.72,31.44,0.0
2020-09-03 13:19:03,0.98,0.16,0.23,65.43,31.35,29.19,0.0
2020-09-03 13:19:04,0.98,0.13,0.12,27.64,15.01,63.27,0.0
2020-09-03 13:19:05,0.99,0.19,0.27,84.44,34.83,63.27,0.0
2020-09-03 13:19:06,1.0,0.17,0.31,61.76,52.8,43.73,0.0
2020-09-03 13:19:08,0.99,0.18,0.36,45.96,54.55,41.28,0.0
2020-09-03 13:19:09,1.01,0.23,0.47,55.4,45.43,38.37,0.0
2020-09-03 13:19:10,0.33,0.48,0.75,31.19,40.06,11.07,0.0
2020-09-03 13:19:11,0.1,0.67,0.76,7.77,8.07,3.17,0.0
2020-09-03 13:19:12,0.07,0.68,0.74,2.75,5.01,14.4,0.0
2020-09-03 13:19:13,0.09,0.65,0.77,5.32,7.8,14.4,0.0
2020-09-03 13:19:14,0.03,0.68,0.75,2.94,2.61,3.16,0.0
2020-09-03 13:19:16,0.03,0.69,0.74,1.84,2.41,1.19,0.0
2020-09-03 13:19:17,0.01,0.7,0.72,0.88,0.85,0.68,0.0
2020-09-03 13:19:18,0.01,0.7,0.72,0.69,1.03,0.34,0.0
2020-09-03 13:19:19,0.01,0.7,0.72,0.54,1.02,0.29,0.0
2020-09-03 13:19:20,0.01,0.7,0.72,0.54,0.98,0.29,0.0
2020-09-03 13:19:21,0.01,0.7,0.72,0.57,0.97,0.27,0.0
2020-09-03 13:19:22,0.01,0.7,0.72,0.39,0.95,0.25,0.0
2020-09-03 13:19:24,0.01,0.7,0.72,0.78,1.15,0.32,0.0
2020-09-03 13:19:25,0.02,0.7,0.72,0.6,0.84,0.24,0.0
2020-09-03 13:19:26,0.01,0.71,0.72,0.69,0.86,0.24,0.0
2020-09-03 13:19:27,0.02,0.71,0.72,1.13,0.99,0.25,0.0
2020-09-03 13:19:28,0.01,0.7,0.72,0.5,1.88,1.83,0.0
2020-09-03 13:19:29,0.01,0.7,0.73,0.56,1.17,0.33,0.0
2020-09-03 13:19:31,0.01,0.7,0.73,0.55,1.07,0.33,0.0
2020-09-03 13:19:32,0.01,0.7,0.73,0.53,1.24,0.54,0.0
