date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-18 18:37:21,0.0,0.0,0.0,0.67,0.83,0.36
2020-09-18 18:37:22,0.0,0.0,0.0,0.56,0.94,0.21
2020-09-18 18:37:23,0.0,0.0,0.0,0.56,0.94,0.21
2020-09-18 18:37:24,0.0,0.0,0.0,0.58,0.96,0.18
2020-09-18 18:37:24,0.0,0.0,0.0,0.58,0.92,0.46
2020-09-18 18:37:25,0.0,0.0,0.0,0.62,0.92,0.46
2020-09-18 18:37:26,0.0,0.0,0.0,0.9,0.46,0.79
2020-09-18 18:37:27,0.0,0.0,0.0,0.9,0.46,0.48
2020-09-18 18:37:27,0.0,0.0,0.0,0.75,1.41,0.48
2020-09-18 18:37:28,0.0,0.0,0.0,1.01,1.46,1.57
2020-09-18 18:37:29,0.0,0.0,0.0,1.01,1.46,1.57
2020-09-18 18:37:29,0.0,0.0,0.0,0.4,0.76,0.79
2020-09-18 18:37:30,0.0,0.0,0.0,0.4,0.96,0.51
2020-09-18 18:37:31,0.0,0.0,0.0,0.7,0.96,0.51
2020-09-18 18:37:32,0.0,0.0,0.0,0.76,0.84,0.68
2020-09-18 18:37:32,0.0,0.0,0.0,0.76,0.84,0.65
2020-09-18 18:37:33,0.0,0.0,0.0,0.74,1.06,0.65
2020-09-18 18:37:34,0.0,0.0,0.0,0.6,0.8,0.31
2020-09-18 18:37:34,0.0,0.0,0.0,0.6,0.8,0.31
2020-09-18 18:37:35,0.0,0.0,0.0,0.75,0.99,0.67
2020-09-18 18:37:36,0.0,0.0,0.0,0.75,1.32,2.29
2020-09-18 18:37:37,0.01,0.0,0.01,2.13,1.32,2.29
2020-09-18 18:37:37,0.0,0.0,0.0,0.72,0.91,0.58
2020-09-18 18:37:38,0.0,0.0,0.0,0.72,0.91,0.68
2020-09-18 18:37:39,0.0,0.0,0.0,0.79,1.15,0.68
2020-09-18 18:37:40,0.0,0.0,0.0,0.6,0.98,0.37
2020-09-18 18:37:40,0.0,0.0,0.0,0.6,0.98,0.37
2020-09-18 18:37:41,0.0,0.0,0.0,0.46,0.93,0.41
2020-09-18 18:37:42,0.0,0.0,0.0,0.52,0.93,0.21
2020-09-18 18:37:42,0.0,0.0,0.0,0.52,0.93,0.21
2020-09-18 18:37:43,0.0,0.0,0.0,0.66,0.85,0.33
2020-09-18 18:37:44,0.0,0.0,0.0,0.66,0.85,0.22
2020-09-18 18:37:45,0.0,0.0,0.0,0.64,0.91,0.22
2020-09-18 18:37:45,0.0,0.0,0.0,0.5,0.89,0.16
2020-09-18 18:37:46,0.0,0.0,0.0,0.5,0.89,0.16
2020-09-18 18:37:47,0.0,0.0,0.0,0.58,0.91,0.16
2020-09-18 18:37:47,0.0,0.0,0.0,0.61,0.94,0.2
2020-09-18 18:37:48,0.0,0.0,0.0,0.61,0.94,0.2
2020-09-18 18:37:49,0.0,0.0,0.0,0.56,0.91,0.35
2020-09-18 18:37:50,0.0,0.0,0.0,0.56,1.13,0.43
2020-09-18 18:37:50,0.0,0.0,0.0,0.53,1.13,0.43
2020-09-18 18:37:51,0.0,0.0,0.0,0.55,0.96,0.24
2020-09-18 18:37:52,0.0,0.0,0.0,0.55,0.96,0.24
2020-09-18 18:37:53,0.0,0.0,0.0,0.49,0.92,0.15
2020-09-18 18:37:53,0.0,0.0,0.0,13.31,4.7,9.43
2020-09-18 18:37:54,0.03,0.08,0.04,13.31,4.7,9.43
2020-09-18 18:37:55,0.0,0.01,0.01,1.62,1.11,1.44
2020-09-18 18:37:55,0.0,0.01,0.01,1.62,0.92,0.36
2020-09-18 18:37:56,0.0,0.0,0.0,0.53,0.92,0.36
2020-09-18 18:37:57,0.0,0.0,0.0,0.55,0.95,0.38
2020-09-18 18:37:58,0.0,0.0,0.0,0.55,0.95,0.38
2020-09-18 18:37:58,0.0,0.0,0.0,0.8,0.73,0.79
2020-09-18 18:37:59,0.0,0.0,0.0,0.94,0.88,0.53
2020-09-18 18:38:00,0.0,0.0,0.0,0.94,0.88,0.53
2020-09-18 18:38:00,0.0,0.0,0.0,0.95,1.37,1.63
2020-09-18 18:38:01,0.0,0.0,0.0,0.95,1.71,2.02
2020-09-18 18:38:02,0.01,0.0,0.01,1.92,1.71,2.02
2020-09-18 18:38:03,0.0,0.0,0.0,0.83,0.81,0.86
2020-09-18 18:38:03,0.0,0.0,0.0,0.83,0.81,0.27
2020-09-18 18:38:04,0.0,0.0,0.0,0.52,0.89,0.27
2020-09-18 18:38:05,0.0,0.0,0.0,0.63,0.84,0.4
2020-09-18 18:38:06,0.0,0.0,0.0,0.63,0.84,0.4
2020-09-18 18:38:06,0.0,0.0,0.0,0.58,0.93,0.19
2020-09-18 18:38:07,0.0,0.0,0.0,0.58,0.95,0.15
2020-09-18 18:38:08,0.0,0.0,0.0,0.58,0.95,0.15
2020-09-18 18:38:09,0.0,0.0,0.0,0.44,0.92,0.16
2020-09-18 18:38:09,0.0,0.0,0.0,0.44,0.91,0.17
2020-09-18 18:38:10,0.0,0.0,0.0,0.56,0.91,0.17
2020-09-18 18:38:11,0.0,0.0,0.0,0.6,1.05,0.28
2020-09-18 18:38:11,0.0,0.0,0.0,0.6,1.05,0.37
2020-09-18 18:38:12,0.0,0.0,0.0,0.65,1.03,0.37
2020-09-18 18:38:13,0.0,0.0,0.0,0.48,0.91,0.35
2020-09-18 18:38:14,0.0,0.0,0.0,0.48,0.91,0.35
2020-09-18 18:38:14,0.0,0.0,0.0,0.52,0.9,0.47
2020-09-18 18:38:15,0.0,0.0,0.0,0.42,0.82,0.36
2020-09-18 18:38:16,0.0,0.0,0.0,0.42,0.82,0.36
2020-09-18 18:38:16,0.0,0.0,0.0,0.79,0.83,0.55
2020-09-18 18:38:17,0.0,0.0,0.0,0.79,0.96,0.35
2020-09-18 18:38:18,0.0,0.0,0.0,0.42,0.96,0.35
2020-09-18 18:38:19,0.0,0.0,0.0,0.56,0.9,0.3
2020-09-18 18:38:19,0.0,0.0,0.0,0.56,0.9,0.17
2020-09-18 18:38:20,0.0,0.0,0.0,0.62,0.93,0.17
2020-09-18 18:38:21,0.0,0.0,0.0,0.54,0.83,0.22
2020-09-18 18:38:22,0.0,0.0,0.0,0.54,0.83,0.22
2020-09-18 18:38:22,0.0,0.0,0.0,0.59,0.83,0.34
2020-09-18 18:38:23,0.0,0.0,0.0,0.77,0.93,0.45
2020-09-18 18:38:24,0.0,0.0,0.0,0.77,0.93,0.45
2020-09-18 18:38:25,0.0,0.0,0.0,0.43,1.01,0.19
2020-09-18 18:38:25,0.0,0.0,0.0,0.43,1.01,0.47
2020-09-18 18:38:26,0.0,0.0,0.0,0.52,0.92,0.47
2020-09-18 18:38:27,0.0,0.0,0.0,0.56,0.97,0.27
2020-09-18 18:38:27,0.0,0.0,0.0,0.56,0.97,0.27
2020-09-18 18:38:28,0.0,0.0,0.0,0.55,0.92,0.23
2020-09-18 18:38:29,0.0,0.0,0.0,0.5,0.99,0.15
2020-09-18 18:38:30,0.0,0.0,0.0,0.5,0.99,0.15
2020-09-18 18:38:30,0.0,0.0,0.0,0.53,0.98,0.21
2020-09-18 18:38:31,0.0,0.0,0.0,0.53,0.9,0.16
2020-09-18 18:38:32,0.0,0.0,0.0,0.51,0.9,0.16
2020-09-18 18:38:32,0.0,0.0,0.0,0.55,0.92,0.15
2020-09-18 18:38:33,0.0,0.0,0.0,0.55,0.92,0.15
2020-09-18 18:38:34,0.0,0.0,0.0,0.56,0.94,0.23
2020-09-18 18:38:35,0.0,0.0,0.0,0.68,1.86,0.93
2020-09-18 18:38:35,0.0,0.0,0.0,0.68,1.86,0.93
2020-09-18 18:38:36,0.0,0.0,0.0,1.13,0.53,1.04
2020-09-18 18:38:37,0.0,0.0,0.0,1.13,0.58,0.44
2020-09-18 18:38:38,0.0,0.0,0.0,0.59,0.58,0.44
2020-09-18 18:38:38,0.0,0.0,0.0,0.62,0.94,0.22
2020-09-18 18:38:39,0.0,0.0,0.0,0.62,0.94,0.37
2020-09-18 18:38:40,0.0,0.0,0.0,0.52,0.87,0.37
2020-09-18 18:38:40,0.0,0.0,0.0,0.82,0.9,0.28
2020-09-18 18:38:41,0.0,0.0,0.0,0.82,0.9,0.28
2020-09-18 18:38:42,0.0,0.0,0.0,0.56,0.92,0.2
2020-09-18 18:38:43,0.0,0.0,0.0,0.57,0.92,0.28
2020-09-18 18:38:44,0.0,0.0,0.0,0.57,0.92,0.28
2020-09-18 18:38:44,0.0,0.0,0.0,0.53,1.02,0.16
2020-09-18 18:38:45,0.0,0.0,0.0,0.62,0.76,0.25
2020-09-18 18:38:46,0.0,0.0,0.0,0.62,0.76,0.25
2020-09-18 18:38:46,0.0,0.0,0.0,0.55,1.02,0.17
2020-09-18 18:38:47,0.0,0.0,0.0,0.55,1.02,0.13
2020-09-18 18:38:48,0.0,0.0,0.0,0.6,0.86,0.13
2020-09-18 18:38:49,0.0,0.0,0.0,0.53,0.91,0.16
2020-09-18 18:38:49,0.0,0.0,0.0,0.53,0.91,0.16
2020-09-18 18:38:50,0.0,0.0,0.0,0.6,0.94,0.14
2020-09-18 18:38:51,0.0,0.0,0.0,0.49,0.91,0.17
2020-09-18 18:38:51,0.0,0.0,0.0,0.49,0.91,0.17
