date,accX,accY,accZ,gyrX,gyrY,gyrZ,fall
2020-09-08 14:20:52,0.82,0.47,0.64,42.7,43.11,76.07,0.0
2020-09-08 14:20:54,0.77,0.57,0.65,38.97,47.45,59.98,0.0
2020-09-08 14:20:55,0.79,0.68,0.57,29.91,58.47,62.36,0.0
2020-09-08 14:20:56,0.86,0.64,0.58,29.25,45.8,67.01,0.0
2020-09-08 14:20:57,0.7,0.73,0.59,41.71,44.89,52.23,0.0
2020-09-08 14:20:58,0.88,0.78,0.55,35.56,53.41,55.36,0.0
2020-09-08 14:20:59,0.77,0.73,0.73,31.47,46.75,78.25,0.0
2020-09-08 14:21:01,0.8,0.74,0.68,36.98,60.23,57.75,0.0
2020-09-08 14:21:02,0.86,0.61,0.56,34.57,42.62,66.72,0.0
2020-09-08 14:21:03,0.77,0.48,0.42,7.08,10.04,9.85,0.0
2020-09-08 14:21:04,0.82,0.39,0.34,1.52,2.6,2.15,0.0
2020-09-08 14:21:05,0.82,0.41,0.36,4.54,9.73,2.3,0.0
2020-09-08 14:21:06,0.86,0.61,0.36,47.97,28.74,58.82,0.0
2020-09-08 14:21:07,0.92,0.59,0.52,38.7,36.18,83.7,0.0
2020-09-08 14:21:09,0.94,0.39,0.45,27.4,22.46,53.76,0.0
2020-09-08 14:21:10,0.9,0.15,0.38,8.26,6.8,9.14,0.0
2020-09-08 14:21:11,0.91,0.41,0.32,27.47,10.66,37.27,0.0
